Type Name,Base Type,Value Name,Value,Comment,Source,
file,enum,,,,,
,,lap_vert_ratio,312,,,
,,stride_length,313,,,
,,avg_stride_len,314,,,
,,lap_stride_len,315,,,
,,perform_cond,320,,,
,,battery_hours,395,,,
,,muscle_o_2_sat,423,,,
,,total_hemaglobin,424,,,
,,anaerobic_te,433,,,
,,resp_rate,452,,,
,,total_time,455,,,
,,est_total_dist,462,,,
,,load,478,,,
,,workout_comparison,511,,,
,,cadence_gauge,512,,,
,,primary_target,520,,,
,,duration,522,,,
,,vert_osc_gauge,524,,,
,,vert_ratio_gauge,525,,,
,,ground_contact_time_gauge,526,,,
,,gct_balance_gauge,527,,,
,,power_gauge,528,,,
,,compass_gauge,529,,,
,,te_gauge,530,,,
,,asc_des_gauge,531,,,
,,overall_ahead_behind,532,,,
,,secondary_target,578,,,
,,stamina_potential,580,,,
,,stamina,581,,,
,,distance_remaining,582,,,
,,time_remaining,583,,,
,,gauge_dist,585,,,
,,altitude_chart,586,,,
,,barometer_chart,587,,,
,,heart_rate_chart,588,,,
,,pace_chart,589,,,
,,speed_chart,590,,,
,,power_chart,591,,,
,,gauge_time,597,,,
,,hr_zones_ratio,610,,,
,,time_of_day_seconds,616,,,
,,grade_adjusted_pace,656,,,
duration_type,enum,,,,,
,,time,0,,,
,,distance,1,,,
endurance_score_level,,,,,,
,,recreational,1,,,
,,intermediate,2,,,
,,trained,3,,,
,,well-trained,4,,,
,,expert,5,,,
,,superior,6,,,
,,elite,7,,,
epo_cpe_status,,,,,,
,,expired,0,,,
,,current,1,,,
event,enum,,,,,
,,performance_condition_alert,39,,,
,,sleep_event,74,,,
fairway,enum,,,,,
,,left,0,,,
,,right,1,,,
,,hit,2,,,
garmin_product,uint16,,,gnss chipsets,,
,,mt3333_1,1619,MediaTek MT3333,,
,,mt3333_2,1620,MediaTek MT3333,,
,,mt3333_3,1621,MediaTek MT3333,,
,,mt3333_4,2957,MediaTek MT3333,,
,,mt3333_5,3411,MediaTek MT3333,,
,,mt3333_6,3750,MediaTek MT3333,,
,,cxd5603gf,3107,Sony CXD5603GF,,
,,cxd56xxxx_1,3799,Sony CXD56xxxx,,
,,cxd56xxxx_2,4058,Sony CXD56xxxx,,
,,cxd56xxxx_3,4197,Sony CXD56xxxx,,
,,ag3335m,3865,Airoha AG3335M,,
,,ag3335mn,3866,Airoha AG3335MN,,
,,fr970,4565,Forerunner 970,,
,,hrm_600,4607,HRM 600,,
gender_x,enum,,,,,
,,female,0,,,
,,male,1,,,
,,not_specified,2,,,
gps_mode,uint16,,,,2,
,,GPS_L1,0x0001,,,
,,GLONASS,0x0002,,,
,,QZSS_L1,0x0010,,,
,,Galileo_E1,0x0040,,,
,,BeiDou_B1I,0x0080,,,
,,auto_select,0x0100,,,
,,"GPS_L5,_Galileo_E5a,_BeiDou_B2a",0x1C00,,,
,,QZSS_L5,0x2000,,,
gps_type,enum,,,,,
,,ultra_trac_trigger,11,,,
,,mode_change,49,,,
guide_text,enum,,,,,
,,never_display,0,,,
,,always_display,1,,,
,,when_navigating,2,,,
hill_score_level,,,,,,
,,recreational,1,,,
,,challenger,2,,,
,,trained,3,,,
,,skilled,4,,,
,,expert,5,,,
,,elite,6,,,
light_sectors_status,enum,,,,,
,,off,0,,,
,,on,1,,,
,,auto,2,,,
map_symbol,uint16,,,,,
,,airport,0,,,
,,amusement_park,1,,,
,,anchor,2,,,
,,ball_park,3,,,
,,bank,4,,,
,,bar,5,,,
,,block_blue,6,,,
,,boat_ramp,7,,,
,,bowling,8,,,
,,bridge,9,,,
,,building,10,,,
,,campground,11,,,
,,car,12,,,
,,car_rental,13,,,
,,car_repair,14,,,
,,cemetery,15,,,
,,church,16,,,
,,city_large,17,,,
,,city_medium,18,,,
,,city_small,19,,,
,,civil,20,,,
,,controlled_area,21,,,
,,convenience_store,22,,,
,,crossing,23,,,
,,dam,24,,,
,,skull_and_crossbones,25,,,
,,danger_area,26,,,
,,department_store,27,,,
,,diver_down_flag_1,28,,,
,,diver_down_flag_2,29,,,
,,drinking_water,30,,,
,,fast_food,32,,,
,,fishing_area,33,,,
,,fitness_center,34,,,
,,forest,35,,,
,,gas_station,36,,,
,,glider_area,37,,,
,,golf_course,38,,,
,,lodging,39,,,
,,hunting_area,40,,,
,,information,41,,,
,,live_theater,42,,,
,,light,43,,,
,,man_overboard,44,,,
,,hospital_2,45,,,
,,mine,46,,,
,,movie_theater,47,,,
,,museum,48,,,
,,oil_field,49,,,
,,parachute_area,50,,,
,,park,51,,,
,,parking_2,52,,,
,,pharmacy,53,,,
,,picnic_area,54,,,
,,pizza,55,,,
,,post_office,56,,,
,,rv_park,57,,,
,,residence,58,,,
,,restricted_area,59,,,
,,restaurant,60,,,
,,restroom,61,,,
,,scales,62,,,
,,scenic_area,63,,,
,,school,64,,,
,,shipwreck,65,,,
,,shopping_center,66,,,
,,short_tower,67,,,
,,shower,68,,,
,,skiing_area,69,,,
,,stadium,70,,,
,,summit,71,,,
